Volcanoes of the World 4.3.0,,Downloaded on 13 Jul 2014 at 11:45 PM,,,
Volcano Number,Volcano Name,Author,Publication Year,Title,Source
271070,Musuan,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
271070,Musuan,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
271070,Musuan,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
271070,Musuan,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
271071,Malindang,"Del Mundo E T, Arpa M C",2007,,(pers. comm.)
271071,Malindang,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
271071,Malindang,"Sajona F G, Bellon H, Maury R C, Pubellier M, Cotten J, Rangin C",1994,"Magmatic response to abrupt changes in geodynamic settings: Pliocene-Quaternary calc-alkaline and Nb-enriched lavas from Mindanao, Philippines","Tectonophysics, 237: 47-72"
271071,Malindang,"Sajona F G, Bellon H, Maury R C, Pubellier M, Querbral R D, Cotten J, Bayon F E, Pagado E, Pematian P",1997,"Tertiary and Quaternary magmatism in Mindanao and Leyte (Philippines): geochronology, geochemistry and tectonic setting","J Asian Earth Sci, 15: 121-153"
271071,Malindang,"Salise P C, Manzano J A, Sierra J, Barela H",1991,"Geo-environmental hazard investigation of Malindang Range volcanic complex and risk assessment of town centres, Misamis Occidental","Geol Soc Philippines 4th Ann Geol Conv Abs, p 16-17"
271071,Malindang,Smithsonian Institution-GVN,1990-,[Monthly event reports],"Bull Global Volc Network, v 15-33"
271071,Malindang,"Solidum R U, Castillo P R, Hawkins J W",2003,"Geochemistry of lavas from Negros Arc, west central Philippines: insights into the contribution from the subducting slab","Geochem Geophys Geosyst, 4: doi:10.1029/2003GC00513"
271072,Balatukan,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
271072,Balatukan,"Sajona F G, Bellon H, Maury R C, Pubellier M, Querbral R D, Cotten J, Bayon F E, Pagado E, Pematian P",1997,"Tertiary and Quaternary magmatism in Mindanao and Leyte (Philippines): geochronology, geochemistry and tectonic setting","J Asian Earth Sci, 15: 121-153"
271072,Balatukan,Wolfe J A,1982,,(pers. comm.)
271080,Camiguin,"Alcaraz A, Abad L F, Quema J C",1952,"Hibok-Hibok volcano, Philippine Islands, and activity since 1948","Volcano Lett, 516: 1-6 & 517: 1-4"
271080,Camiguin,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
271080,Camiguin,"Castillo P R, Janney P E, Solidum R U",1999,"Petrology and geochemistry of Camiguin Island, southern Philippines: insights to the source of adakites and other lavas in a complex arc setting","Contr Mineral Petr, 134: 33-51"
271080,Camiguin,"Catane S G, Taniguchi H, Goto A, Givero A P, Mandanas A A",2005,Explosive volcanism in the Philippines,"CNEAS Monograph Ser, Tohoku Univ, 18: 1-146"
271080,Camiguin,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
271080,Camiguin,"Macdonald G A, Alcaraz A",1956,Nuees ardentes of the 1948-1953 eruption of Hibok-Hibok,"Bull Volc, 18: 169-178"
271080,Camiguin,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
271080,Camiguin,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
271090,Paco,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
271090,Paco,"Delfin F G Jr, Newhall C G, Martinez M L, Salonga N D, Bayon F E B, Trimble D, Solidum R",1997,"Geological, 14C, and historical evidence for a 17th century eruption of Parker volcano, Mindanao, Philippines","J Geol Soc Philippines, 52: 25-42"
271090,Paco,"Sajona F G, Bellon H, Maury R C, Pubellier M, Querbral R D, Cotten J, Bayon F E, Pagado E, Pematian P",1997,"Tertiary and Quaternary magmatism in Mindanao and Leyte (Philippines): geochronology, geochemistry and tectonic setting","J Asian Earth Sci, 15: 121-153"
271090,Paco,Wolfe J A,1982,,(pers. comm.)
272010,Cuernos de Negros,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
272010,Cuernos de Negros,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
272010,Cuernos de Negros,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
272010,Cuernos de Negros,"Rae A J, Cooke D R, Phillips D, Zaide-Delfin M",2004,"The nature of magmatism at Palinpinon geothermal field, Negros Island, Philippines: implications for geothermal activity and regional tectonics",J Volc Geotherm Res: 129: 321-342
272010,Cuernos de Negros,"Solidum R U, Castillo P R, Hawkins J W",2003,"Geochemistry of lavas from Negros Arc, west central Philippines: insights into the contribution from the subducting slab","Geochem Geophys Geosyst, 4: doi:10.1029/2003GC00513"
272010,Cuernos de Negros,"von Biedersee H, Pichler H",1995,The Canlaon and its neighbouring volcanoes in the Negros Belt/Philippines,"J Southeast Asian Earth Sci, 11: 111-123"
272020,Kanlaon,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
272020,Kanlaon,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
272020,Kanlaon,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
272020,Kanlaon,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
272020,Kanlaon,"Solidum R U, Castillo P R, Hawkins J W",2003,"Geochemistry of lavas from Negros Arc, west central Philippines: insights into the contribution from the subducting slab","Geochem Geophys Geosyst, 4: doi:10.1029/2003GC00513"
272020,Kanlaon,"von Biedersee H, Pichler H",1995,The Canlaon and its neighbouring volcanoes in the Negros Belt/Philippines,"J Southeast Asian Earth Sci, 11: 111-123"
272030,Mandalagan,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
272030,Mandalagan,"Del Mundo E T, Arpa M C",2007,,(pers. comm.)
272030,Mandalagan,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
272030,Mandalagan,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
272030,Mandalagan,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
272030,Mandalagan,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
272030,Mandalagan,"Solidum R U, Castillo P R, Hawkins J W",2003,"Geochemistry of lavas from Negros Arc, west central Philippines: insights into the contribution from the subducting slab","Geochem Geophys Geosyst, 4: doi:10.1029/2003GC00513"
272030,Mandalagan,"von Biedersee H, Pichler H",1995,The Canlaon and its neighbouring volcanoes in the Negros Belt/Philippines,"J Southeast Asian Earth Sci, 11: 111-123"
272040,Silay,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
272040,Silay,"Del Mundo E T, Arpa M C",2007,,(pers. comm.)
272040,Silay,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
272040,Silay,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
272040,Silay,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
272040,Silay,"Solidum R U, Castillo P R, Hawkins J W",2003,"Geochemistry of lavas from Negros Arc, west central Philippines: insights into the contribution from the subducting slab","Geochem Geophys Geosyst, 4: doi:10.1029/2003GC00513"
272050,Cabalían,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
272050,Cabalían,"Del Mundo E T, Arpa M C",2007,,(pers. comm.)
272050,Cabalían,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
272050,Cabalían,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
272050,Cabalían,Newhall C G,2008,,(pers. comm.)
272050,Cabalían,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
272070,Mahagnao,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
272070,Mahagnao,"Del Mundo E T, Arpa M C",2007,,(pers. comm.)
272070,Mahagnao,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
272070,Mahagnao,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
272070,Mahagnao,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
272080,Biliran,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
272080,Biliran,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
272080,Biliran,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
272080,Biliran,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
272080,Biliran,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
272080,Biliran,Pena O,1982,,(pers. comm.)
272080,Biliran,"Sajona F G, Bellon H, Maury R C, Pubellier M, Cotten J, Rangin C",1994,"Magmatic response to abrupt changes in geodynamic settings: Pliocene-Quaternary calc-alkaline and Nb-enriched lavas from Mindanao, Philippines","Tectonophysics, 237: 47-72"
272080,Biliran,"Sajona F G, Bellon H, Maury R C, Pubellier M, Querbral R D, Cotten J, Bayon F E, Pagado E, Pematian P",1997,"Tertiary and Quaternary magmatism in Mindanao and Leyte (Philippines): geochronology, geochemistry and tectonic setting","J Asian Earth Sci, 15: 121-153"
273010,Bulusan,Bautista L P,1988,The 1988 Bulusan volcano activity,"Phivolcs Observer, 4: 1-3"
273010,Bulusan,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
273010,Bulusan,"Catane S G, Taniguchi H, Goto A, Givero A P, Mandanas A A",2005,Explosive volcanism in the Philippines,"CNEAS Monograph Ser, Tohoku Univ, 18: 1-146"
273010,Bulusan,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
273010,Bulusan,"McDermott F, Delfin F G Jr, Defant M J, Turner S, Maury R",2005,"The petrogenesis of volcanics from Mt. Bulusan and Mt. Mayon in the Bicol arc, Philippines","Contr Mineral Petr, 150: 652-670"
273010,Bulusan,"Mirabueno M H T, Okuno M, Nakamura T, Laguerta E P, Newhall C G, Kobayashi T",2007,"AMS radiocarbon dating of a charcoal fragment from the Irosin Ignimbrite, Sorsogon Province, southern Luzon, Philippines","Bull Volc Soc Japan (Kazan), 52: 241-244"
273010,Bulusan,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
273010,Bulusan,"Newhall C G, Dzurisin D",1988,Historical unrest at large calderas of the world,"U S Geol Surv Bull, 1855: 1108 p, 2 vol"
273010,Bulusan,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
273020,Pocdol Mountains,"Andal E S, Yumul G P Jr, Listanco E L, Tamayo R A Jr, Dimalanta C B, Ishii T",2005,"Characterization of the Pleistocene volcanic chain of the Bicol arc, Philippines: implications for geohazard assessment","Terr Atmos Ocean Sci, 16: 865-883"
273020,Pocdol Mountains,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
273020,Pocdol Mountains,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
273020,Pocdol Mountains,"Ozawa A, Tagami T, Listance E L, Arpa C B, Sudo M",2004,Initiation and propogation of subduction along the Philippine trench: evidence for temporal and spatial distribution,"J Asian Earth Sci, 23: 105-111"
273020,Pocdol Mountains,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
273030,Mayon,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
273030,Mayon,"Castillo P R, Newhall C G",2004,"Geochemical constraints on possible subduction components in lavas of Mayon and Taal volcanoes, southern Luzon, Philippines","J Petr, 45: 1089-1108"
273030,Mayon,"Catane S G, Taniguchi H, Goto A, Givero A P, Mandanas A A",2005,Explosive volcanism in the Philippines,"CNEAS Monograph Ser, Tohoku Univ, 18: 1-146"
273030,Mayon,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
273030,Mayon,Newhall C G,1979,"Temporal variation in the lavas of Mayon volcano, Philippines","J Volc Geotherm Res, 5: 61-84"
273030,Mayon,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
273030,Mayon,"Paguican E M R, Lagmay A M F, Rodolfo K S, Rodolfo R S, Tengonciang A M P, Lapus M R, Baliatan E G, Obille Jr E C",20009,"Extreme rainfall-induced lahars and dike breaching, 30 November 2006, Mayon volcano, Philippines","Bull Volc, 71: 845: 857"
273030,Mayon,"Ramos-Villarta S C, Corpuz E G, Newhall C G",1985,"Eruptive history of Mayon volcano, Philippines","Philippine J Volc, 2: 1-35"
273031,Masaraga,"Del Mundo E T, Arpa M C",2007,,(pers. comm.)
273031,Masaraga,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
273031,Masaraga,"Ozawa A, Tagami T, Listance E L, Arpa C B, Sudo M",2004,Initiation and propogation of subduction along the Philippine trench: evidence for temporal and spatial distribution,"J Asian Earth Sci, 23: 105-111"
273041,Iriga,"Aguila L G, Newhall C G, Miller C D, Listanco E L",1986,"Reconnaissance geology of a large debris avalanche from Iriga volcano, Philippines","Philippine J Volc, 3: 54-72"
273041,Iriga,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
273041,Iriga,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
273042,Isarog,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
273042,Isarog,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
273044,Malindig,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
273044,Malindig,"Del Mundo E T, Arpa M C",2007,,(pers. comm.)
273044,Malindig,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
273050,Banahaw,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
273050,Banahaw,Geronimo-Catane S,1994,"Mode of emplacement of two debris-avalanche deposits at Banahao volcano, southern Luzon, Philippines","Bull Volc Soc Japan (Kazan), 39: 113-127"
273050,Banahaw,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
273050,Banahaw,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
273050,Banahaw,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
273050,Banahaw,Sapper K,1917,Katalog der Geschichtlichen Vulkanausbruche,"Strasbourg: Karl J Trubner, 358 p"
273050,Banahaw,"Wolfe J A, Self S",1983,Structural lineaments and Neogene volcanism in southwestern Luzon,"In: Hayes D E (ed) {The Tectonic and Geological Evolution of Southeast Asian Seas and Islands: Part 2}, Amer Geophys Union Monograph 27"
273060,San Pablo Volcanic Field,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
273060,San Pablo Volcanic Field,"Catane S G, Taniguchi H, Goto A, Givero A P, Mandanas A A",2005,Explosive volcanism in the Philippines,"CNEAS Monograph Ser, Tohoku Univ, 18: 1-146"
273060,San Pablo Volcanic Field,"Defant M J, Maury R C, Ripley E M, Feigenson M D, Jacques D",1991,"An example of island-arc petrogenesis: geochemistry and petrology of the southern Luzon arc, Philippines","J Petr, 32: 455-500"
273060,San Pablo Volcanic Field,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
273060,San Pablo Volcanic Field,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
273060,San Pablo Volcanic Field,"Wolfe J A, Self S",1983,Structural lineaments and Neogene volcanism in southwestern Luzon,"In: Hayes D E (ed) {The Tectonic and Geological Evolution of Southeast Asian Seas and Islands: Part 2}, Amer Geophys Union Monograph 27"
273070,Taal,COMVOL,1981,Catalogue of Philippine volcanoes and solfataric areas,"Philippine Comm Volc, 87 p"
273070,Taal,"Castillo P R, Newhall C G",2004,"Geochemical constraints on possible subduction components in lavas of Mayon and Taal volcanoes, southern Luzon, Philippines","J Petr, 45: 1089-1108"
273070,Taal,"Catane S G, Taniguchi H, Goto A, Givero A P, Mandanas A A",2005,Explosive volcanism in the Philippines,"CNEAS Monograph Ser, Tohoku Univ, 18: 1-146"
273070,Taal,"Green J, Short N M",1971,Volcanic Landforms and Surface Features: a Photographic Atlas and Glossary,"New York: Springer-Verlag, 519 p"
273070,Taal,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
273070,Taal,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
273070,Taal,"Miklius A, Flower M F J, Huijsmans J P P, Mukasa S B, Castillo P",1991,"Geochemistry of lavas from Taal Volcano, southwest Luzon, Philippines","J Petr, 32: 593-627"
273070,Taal,"Moore J G, Nakamura K, Alcaraz A",1966,The 1965 eruption of Taal volcano,"Science, 151: 955-960"
273070,Taal,Neumann van Padang M,1953,Philippine Islands and Cochin China,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 2: 1-49"
273070,Taal,"Newhall C G, Dzurisin D",1988,Historical unrest at large calderas of the world,"U S Geol Surv Bull, 1855: 1108 p, 2 vol"
273070,Taal,PHIVOLCS,2004-,Volcanoes,http://www.phivolcs.dost.gov.ph/Volcanolist/
273070,Taal,"Santos G G, Wainerdi R E",1969,Notes on the 1965 Taal volcanic eruptions,"Bull Volc, 33: 503-529"
